,open,close,high,low,volume,open interest
20190213,11605,11675,11690,11515,271950,339684
20190214,11675,11785,11900,11610,386514,339878
20190215,11780,11640,11815,11530,281780,332796
20190218,11670,11815,11840,11650,306698,340282
20190219,11845,12375,12425,11830,684994,365036
20190220,12340,12460,12520,12215,508496,362424
20190221,12460,12325,12570,12265,403096,345692
20190222,12290,12515,12525,12265,301738,346988
20190225,12625,12445,12855,12430,588298,338518
20190226,12425,12400,12545,12270,425374,328142
20190227,12415,12405,12590,12315,376048,326700
20190228,12430,12500,12595,12415,312518,330212
20190301,12525,12770,12790,12455,439864,339854
20190304,12770,12495,12960,12475,561936,326518
20190305,12495,12465,12550,12335,307036,314390
20190306,12480,12445,12585,12400,290322,308326
20190307,12450,12215,12490,12135,381056,292590
20190308,12245,12095,12275,12035,322228,288672
20190311,12085,12125,12215,12050,264402,290100
20190312,12130,12165,12285,12115,250928,289284
20190313,12185,12005,12250,11970,302568,292968
20190314,12020,12030,12080,11975,192764,282588
20190315,12050,11850,12120,11810,354064,280584
20190318,11860,11915,11960,11770,248268,273058
20190319,11935,11985,12050,11915,217190,257956
20190320,12015,11950,12015,11855,186400,253318
20190321,11925,11940,12015,11900,162368,247494
20190322,11930,11880,11940,11785,225760,248276
20190325,11845,11500,11845,11485,327896,262322
20190326,11510,11510,11560,11450,171972,250726
20190327,11545,11335,11570,11330,266876,244442
20190328,11340,11180,11375,11170,248678,225446
20190329,11200,11245,11340,11090,254616,198204
20190401,11585,11715,11720,11540,215556,356890
20190402,11715,11680,11735,11605,322766,364592
20190403,11705,11770,11810,11700,237312,369158
20190404,11850,11795,11900,11720,253712,370640
20190408,11860,11835,11980,11800,231674,372312
20190409,11820,11700,11880,11600,304850,391794
20190410,11725,11955,12035,11635,453800,392176
20190411,11960,11910,12050,11855,338658,391854
20190412,11940,11930,11975,11770,365198,394090
20190415,12030,11840,12120,11820,380882,399456
20190416,11870,11685,11910,11550,422658,415574
20190417,11710,11645,11715,11615,225508,426260
20190418,11610,11400,11685,11380,455898,451864
20190419,11420,11470,11505,11405,198616,452280
20190422,11480,11480,11615,11460,288272,447004
20190423,11485,11540,11610,11480,229614,448112
20190424,11550,11475,11550,11405,294596,450638
20190425,11490,11495,11575,11350,399238,451114
20190426,11490,11295,11550,11255,395120,463018
